,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans
1628,find me a portuguese restaurant,inform_food,6,"['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['find', 'me', 'a', 'portuguese', 'restaurant']","{'text': 'finde mir ein portugiesisches Restaurant', 'to': 'de', 'alignment': {'proj': '0:3-0:4 5:6-6:8 8:8-10:12 10:19-14:28 21:30-30:39'}}",1,finde mir ein portugiesisches Restaurant,0:3-0:4 5:6-6:8 8:8-10:12 10:19-14:28 21:30-30:39,"{'0:3': ['find', 'O', 1], '5:6': ['me', 'O', 1], '8:8': ['a', 'O', 1], '10:19': ['portuguese', 'B-food', 3], '21:30': ['restaurant', 'O', 1]}","{0: ['find', 'O', 1], 5: ['me', 'O', 1], 8: ['a', 'O', 1], 10: ['portuguese', 'B-food', 3], 21: ['restaurant', 'O', 1]}","{'0:4': '0:3', '6:8': '5:6', '10:12': '8:8', '14:28': '10:19', '30:39': '21:30'}","{0: 0, 6: 5, 10: 8, 14: 10, 30: 21}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]"
1629,find me an expensive portuguese restaurant,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'B-pricerange', 'B-food', 'O']","[1, 1, 1, 0, 3, 1]","['find', 'me', 'an', 'expensive', 'portuguese', 'restaurant']","{'text': 'finde mir ein teures portugiesisches Restaurant', 'to': 'de', 'alignment': {'proj': '0:3-0:4 5:6-6:8 8:9-10:12 11:19-14:19 21:30-21:35 32:41-37:46'}}",1,finde mir ein teures portugiesisches Restaurant,0:3-0:4 5:6-6:8 8:9-10:12 11:19-14:19 21:30-21:35 32:41-37:46,"{'0:3': ['find', 'O', 1], '5:6': ['me', 'O', 1], '8:9': ['an', 'O', 1], '11:19': ['expensive', 'B-pricerange', 0], '21:30': ['portuguese', 'B-food', 3], '32:41': ['restaurant', 'O', 1]}","{0: ['find', 'O', 1], 5: ['me', 'O', 1], 8: ['an', 'O', 1], 11: ['expensive', 'B-pricerange', 0], 21: ['portuguese', 'B-food', 3], 32: ['restaurant', 'O', 1]}","{'0:4': '0:3', '6:8': '5:6', '10:12': '8:9', '14:19': '11:19', '21:35': '21:30', '37:46': '32:41'}","{0: 0, 6: 5, 10: 8, 14: 11, 21: 21, 37: 32}","['O', 'O', 'O', 'B-pricerange', 'B-food', 'O']","[1, 1, 1, 0, 3, 1]"
1630,how about mediterranean food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]","['how', 'about', 'mediterranean', 'food']","{'text': 'wie wäre es mit mediterranem Essen', 'to': 'de', 'alignment': {'proj': '0:2-0:2 0:2-4:7 0:2-9:10 0:2-12:14 10:22-16:27 24:27-29:33'}}",1,wie wäre es mit mediterranem Essen,0:2-0:2 0:2-4:7 0:2-9:10 0:2-12:14 10:22-16:27 24:27-29:33,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:22': ['mediterranean', 'B-food', 3], '24:27': ['food', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['mediterranean', 'B-food', 3], 24: ['food', 'O', 1]}","{'0:2': '0:2', '4:7': '0:2', '9:10': '0:2', '12:14': '0:2', '16:27': '10:22', '29:33': '24:27'}","{0: 0, 4: 0, 9: 0, 12: 0, 16: 10, 29: 24}","['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]"
1631,i am looking for a cheap restaurant in the west part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['i', 'am', 'looking', 'for', 'a', 'cheap', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town']","{'text': 'Ich suche ein günstiges Restaurant im westlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:3-4:8 17:17-10:12 19:23-14:22 25:34-24:33 36:37-35:36 43:46-38:47 48:51-49:52 53:54-54:56 56:59-58:62'}}",1,Ich suche ein günstiges Restaurant im westlichen Teil der Stadt,0:0-0:2 2:3-4:8 17:17-10:12 19:23-14:22 25:34-24:33 36:37-35:36 43:46-38:47 48:51-49:52 53:54-54:56 56:59-58:62,"{'0:0': ['i', 'O', 1], '2:3': ['am', 'O', 1], '5:11': ['looking', 'O', 1], '13:15': ['for', 'O', 1], '17:17': ['a', 'O', 1], '19:23': ['cheap', 'B-pricerange', 0], '25:34': ['restaurant', 'O', 1], '36:37': ['in', 'O', 1], '39:41': ['the', 'O', 1], '43:46': ['west', 'B-area', 2], '48:51': ['part', 'O', 1], '53:54': ['of', 'O', 1], '56:59': ['town', 'O', 1]}","{0: ['i', 'O', 1], 2: ['am', 'O', 1], 5: ['looking', 'O', 1], 13: ['for', 'O', 1], 17: ['a', 'O', 1], 19: ['cheap', 'B-pricerange', 0], 25: ['restaurant', 'O', 1], 36: ['in', 'O', 1], 39: ['the', 'O', 1], 43: ['west', 'B-area', 2], 48: ['part', 'O', 1], 53: ['of', 'O', 1], 56: ['town', 'O', 1]}","{'0:2': '0:0', '4:8': '2:3', '10:12': '17:17', '14:22': '19:23', '24:33': '25:34', '35:36': '36:37', '38:47': '43:46', '49:52': '48:51', '54:56': '53:54', '58:62': '56:59'}","{0: 0, 4: 2, 10: 17, 14: 19, 24: 25, 35: 36, 38: 43, 49: 48, 54: 53, 58: 56}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]"
1632,im looking for a restaurant in the center of town that serves lebanese,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'the', 'center', 'of', 'town', 'that', 'serves', 'lebanese']","{'text': 'Ich suche ein Restaurant im Zentrum der Stadt, das libanesische', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:23 28:29-25:26 31:33-36:38 35:40-28:34 50:53-40:45 50:53-47:49 62:69-51:62'}}",1,"Ich suche ein Restaurant im Zentrum der Stadt, das libanesische",0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:23 28:29-25:26 31:33-36:38 35:40-28:34 50:53-40:45 50:53-47:49 62:69-51:62,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['the', 'O', 1], '35:40': ['center', 'B-area', 2], '42:43': ['of', 'O', 1], '45:48': ['town', 'O', 1], '50:53': ['that', 'O', 1], '55:60': ['serves', 'O', 1], '62:69': ['lebanese', 'B-food', 3]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['the', 'O', 1], 35: ['center', 'B-area', 2], 42: ['of', 'O', 1], 45: ['town', 'O', 1], 50: ['that', 'O', 1], 55: ['serves', 'O', 1], 62: ['lebanese', 'B-food', 3]}","{'0:2': '0:1', '4:8': '3:9', '10:12': '15:15', '14:23': '17:26', '25:26': '28:29', '36:38': '31:33', '28:34': '35:40', '40:45': '50:53', '47:49': '50:53', '51:62': '62:69'}","{0: 0, 4: 3, 10: 15, 14: 17, 25: 28, 36: 31, 28: 35, 40: 50, 47: 50, 51: 62}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 3]"
1633,kosher food in the north,inform_area__inform_food,28,"['B-food', 'O', 'O', 'O', 'B-area']","[3, 1, 1, 1, 2]","['kosher', 'food', 'in', 'the', 'north']","{'text': 'koscheres Essen im Norden', 'to': 'de', 'alignment': {'proj': '0:5-0:8 7:10-10:14 15:17-16:17 19:23-19:24'}}",1,koscheres Essen im Norden,0:5-0:8 7:10-10:14 15:17-16:17 19:23-19:24,"{'0:5': ['kosher', 'B-food', 3], '7:10': ['food', 'O', 1], '12:13': ['in', 'O', 1], '15:17': ['the', 'O', 1], '19:23': ['north', 'B-area', 2]}","{0: ['kosher', 'B-food', 3], 7: ['food', 'O', 1], 12: ['in', 'O', 1], 15: ['the', 'O', 1], 19: ['north', 'B-area', 2]}","{'0:8': '0:5', '10:14': '7:10', '16:17': '15:17', '19:24': '19:23'}","{0: 0, 10: 7, 16: 15, 19: 19}","['B-food', 'O', 'O', 'B-area']","[3, 1, 1, 2]"
1634,i need a restaurant in the west part of town that serves european food,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1]","['i', 'need', 'a', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town', 'that', 'serves', 'european', 'food']","{'text': 'Ich brauche ein Restaurant im westlichen Teil der Stadt, das europäisches Essen serviert', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:5-4:10 7:7-12:14 9:18-16:25 20:21-27:28 27:30-30:39 32:35-41:44 37:38-46:48 45:48-50:55 45:48-57:59 50:55-80:87 57:64-61:72 66:69-74:78'}}",1,"Ich brauche ein Restaurant im westlichen Teil der Stadt, das europäisches Essen serviert",0:0-0:2 2:5-4:10 7:7-12:14 9:18-16:25 20:21-27:28 27:30-30:39 32:35-41:44 37:38-46:48 45:48-50:55 45:48-57:59 50:55-80:87 57:64-61:72 66:69-74:78,"{'0:0': ['i', 'O', 1], '2:5': ['need', 'O', 1], '7:7': ['a', 'O', 1], '9:18': ['restaurant', 'O', 1], '20:21': ['in', 'O', 1], '23:25': ['the', 'O', 1], '27:30': ['west', 'B-area', 2], '32:35': ['part', 'O', 1], '37:38': ['of', 'O', 1], '40:43': ['town', 'O', 1], '45:48': ['that', 'O', 1], '50:55': ['serves', 'O', 1], '57:64': ['european', 'B-food', 3], '66:69': ['food', 'O', 1]}","{0: ['i', 'O', 1], 2: ['need', 'O', 1], 7: ['a', 'O', 1], 9: ['restaurant', 'O', 1], 20: ['in', 'O', 1], 23: ['the', 'O', 1], 27: ['west', 'B-area', 2], 32: ['part', 'O', 1], 37: ['of', 'O', 1], 40: ['town', 'O', 1], 45: ['that', 'O', 1], 50: ['serves', 'O', 1], 57: ['european', 'B-food', 3], 66: ['food', 'O', 1]}","{'0:2': '0:0', '4:10': '2:5', '12:14': '7:7', '16:25': '9:18', '27:28': '20:21', '30:39': '27:30', '41:44': '32:35', '46:48': '37:38', '50:55': '45:48', '57:59': '45:48', '80:87': '50:55', '61:72': '57:64', '74:78': '66:69'}","{0: 0, 4: 2, 12: 7, 16: 9, 27: 20, 30: 27, 41: 32, 46: 37, 50: 45, 57: 45, 80: 50, 61: 57, 74: 66}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1]"
1635,find me a restaurant in the center of town,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1]","['find', 'me', 'a', 'restaurant', 'in', 'the', 'center', 'of', 'town']","{'text': 'finde mir ein Restaurant im Zentrum der Stadt', 'to': 'de', 'alignment': {'proj': '0:3-0:4 5:6-6:8 8:8-10:12 10:19-14:23 21:22-25:26 28:33-28:34 35:36-36:38 38:41-40:44'}}",1,finde mir ein Restaurant im Zentrum der Stadt,0:3-0:4 5:6-6:8 8:8-10:12 10:19-14:23 21:22-25:26 28:33-28:34 35:36-36:38 38:41-40:44,"{'0:3': ['find', 'O', 1], '5:6': ['me', 'O', 1], '8:8': ['a', 'O', 1], '10:19': ['restaurant', 'O', 1], '21:22': ['in', 'O', 1], '24:26': ['the', 'O', 1], '28:33': ['center', 'B-area', 2], '35:36': ['of', 'O', 1], '38:41': ['town', 'O', 1]}","{0: ['find', 'O', 1], 5: ['me', 'O', 1], 8: ['a', 'O', 1], 10: ['restaurant', 'O', 1], 21: ['in', 'O', 1], 24: ['the', 'O', 1], 28: ['center', 'B-area', 2], 35: ['of', 'O', 1], 38: ['town', 'O', 1]}","{'0:4': '0:3', '6:8': '5:6', '10:12': '8:8', '14:23': '10:19', '25:26': '21:22', '28:34': '28:33', '36:38': '35:36', '40:44': '38:41'}","{0: 0, 6: 5, 10: 8, 14: 10, 25: 21, 28: 28, 36: 35, 40: 38}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1]"
1636,down town,inform_area,2,"['B-area', 'I-area']","[2, 10]","['down', 'town']","{'text': 'Innenstadt', 'to': 'de', 'alignment': {'proj': '0:3-0:9'}}",2,Innenstadt,0:3-0:9,"{'0:3': ['down', 'B-area', 2], '5:8': ['town', 'I-area', 10]}","{0: ['down', 'B-area', 2], 5: ['town', 'I-area', 10]}",{'0:9': '0:3'},{0: 0},['B-area'],['O']
1637,cambridge vietnamese food,inform_food,6,"['O', 'B-food', 'O']","[1, 3, 1]","['cambridge', 'vietnamese', 'food']","{'text': 'Cambridge vietnamesisches Essen', 'to': 'de', 'alignment': {'proj': '0:8-0:8 10:19-10:24 21:24-26:30'}}",1,Cambridge vietnamesisches Essen,0:8-0:8 10:19-10:24 21:24-26:30,"{'0:8': ['cambridge', 'O', 1], '10:19': ['vietnamese', 'B-food', 3], '21:24': ['food', 'O', 1]}","{0: ['cambridge', 'O', 1], 10: ['vietnamese', 'B-food', 3], 21: ['food', 'O', 1]}","{'0:8': '0:8', '10:24': '10:19', '26:30': '21:24'}","{0: 0, 10: 10, 26: 21}","['O', 'B-food', 'O']","[1, 3, 1]"
1638,north east,inform_area,2,"['O', 'B-area']","[1, 2]","['north', 'east']","{'text': 'Nordosten', 'to': 'de', 'alignment': {'proj': '0:9-0:8'}}",2,Nordosten,0:9-0:8,"{'0:4': ['north', 'O', 1], '6:9': ['east', 'B-area', 2]}","{0: ['north', 'O', 1], 6: ['east', 'B-area', 2]}",{'0:8': '0:9'},{0: 0},['B-area'],['O']
1639,looking for a restaurant in the north part of town,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['looking', 'for', 'a', 'restaurant', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'auf der Suche nach einem Restaurant im Norden der Stadt', 'to': 'de', 'alignment': {'proj': '0:6-0:2 0:6-14:17 8:10-8:12 12:12-19:23 14:23-25:34 25:26-36:37 28:30-4:6 32:36-39:44 43:44-46:48 46:49-50:54'}}",1,auf der Suche nach einem Restaurant im Norden der Stadt,0:6-0:2 0:6-14:17 8:10-8:12 12:12-19:23 14:23-25:34 25:26-36:37 28:30-4:6 32:36-39:44 43:44-46:48 46:49-50:54,"{'0:6': ['looking', 'O', 1], '8:10': ['for', 'O', 1], '12:12': ['a', 'O', 1], '14:23': ['restaurant', 'O', 1], '25:26': ['in', 'O', 1], '28:30': ['the', 'O', 1], '32:36': ['north', 'B-area', 2], '38:41': ['part', 'O', 1], '43:44': ['of', 'O', 1], '46:49': ['town', 'O', 1]}","{0: ['looking', 'O', 1], 8: ['for', 'O', 1], 12: ['a', 'O', 1], 14: ['restaurant', 'O', 1], 25: ['in', 'O', 1], 28: ['the', 'O', 1], 32: ['north', 'B-area', 2], 38: ['part', 'O', 1], 43: ['of', 'O', 1], 46: ['town', 'O', 1]}","{'0:2': '0:6', '14:17': '0:6', '8:12': '8:10', '19:23': '12:12', '25:34': '14:23', '36:37': '25:26', '4:6': '28:30', '39:44': '32:36', '46:48': '43:44', '50:54': '46:49'}","{0: 0, 14: 0, 8: 8, 19: 12, 25: 14, 36: 25, 4: 28, 39: 32, 46: 43, 50: 46}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
1640,that doesnt matter,inform_this,1,"['O', 'B-this', 'I-this']","[1, 4, 5]","['that', 'doesnt', 'matter']","{'text': 'das spielt keine Rolle', 'to': 'de', 'alignment': {'proj': '0:3-0:2 5:11-4:9 5:11-11:15 13:18-17:21'}}",1,das spielt keine Rolle,0:3-0:2 5:11-4:9 5:11-11:15 13:18-17:21,"{'0:3': ['that', 'O', 1], '5:10': ['doesnt', 'B-this', 4], '12:17': ['matter', 'I-this', 5]}","{0: ['that', 'O', 1], 5: ['doesnt', 'B-this', 4], 12: ['matter', 'I-this', 5]}","{'0:2': '0:3', '4:9': '5:11', '11:15': '5:11', '17:21': '13:18'}","{0: 0, 4: 5, 11: 5, 17: 13}","['O', 'B-this', 'B-this', 'I-this']","[1, 4, 4, 5]"
1641,id like to find a restaurant,unknown,7,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['id', 'like', 'to', 'find', 'a', 'restaurant']","{'text': 'Ich möchte ein Restaurant finden', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:6-4:9 11:14-26:31 16:16-11:13 18:27-15:24'}}",1,Ich möchte ein Restaurant finden,0:1-0:2 3:6-4:9 11:14-26:31 16:16-11:13 18:27-15:24,"{'0:1': ['id', 'O', 1], '3:6': ['like', 'O', 1], '8:9': ['to', 'O', 1], '11:14': ['find', 'O', 1], '16:16': ['a', 'O', 1], '18:27': ['restaurant', 'O', 1]}","{0: ['id', 'O', 1], 3: ['like', 'O', 1], 8: ['to', 'O', 1], 11: ['find', 'O', 1], 16: ['a', 'O', 1], 18: ['restaurant', 'O', 1]}","{'0:2': '0:1', '4:9': '3:6', '26:31': '11:14', '11:13': '16:16', '15:24': '18:27'}","{0: 0, 4: 3, 26: 11, 11: 16, 15: 18}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
1642,in appleton wiscon,unknown,7,"['O', 'O', 'O']","[1, 1, 1]","['in', 'appleton', 'wiscon']","{'text': 'in appleton wiscon', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:10-3:10 12:17-12:17'}}",1,in appleton wiscon,0:1-0:1 3:10-3:10 12:17-12:17,"{'0:1': ['in', 'O', 1], '3:10': ['appleton', 'O', 1], '12:17': ['wiscon', 'O', 1]}","{0: ['in', 'O', 1], 3: ['appleton', 'O', 1], 12: ['wiscon', 'O', 1]}","{'0:1': '0:1', '3:10': '3:10', '12:17': '12:17'}","{0: 0, 3: 3, 12: 12}","['O', 'O', 'O']","[1, 1, 1]"
1643,appleton wisconsin,unknown,7,"['O', 'O']","[1, 1]","['appleton', 'wisconsin']","{'text': 'appleton wisconsin', 'to': 'de', 'alignment': {'proj': '0:7-0:7 9:17-9:17'}}",1,appleton wisconsin,0:7-0:7 9:17-9:17,"{'0:7': ['appleton', 'O', 1], '9:17': ['wisconsin', 'O', 1]}","{0: ['appleton', 'O', 1], 9: ['wisconsin', 'O', 1]}","{'0:7': '0:7', '9:17': '9:17'}","{0: 0, 9: 9}","['O', 'O']","[1, 1]"
1644,looking for a restaurant in the center of town that sells french,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3]","['looking', 'for', 'a', 'restaurant', 'in', 'the', 'center', 'of', 'town', 'that', 'sells', 'french']","{'text': 'auf der Suche nach einem Restaurant im Zentrum der Stadt, das Französisch verkauft', 'to': 'de', 'alignment': {'proj': '0:6-0:2 0:6-14:17 8:10-8:12 12:12-19:23 14:23-25:34 25:26-36:37 28:30-4:6 32:37-39:45 39:40-47:49 42:45-51:56 47:50-58:60 52:56-74:81 58:63-62:72'}}",1,"auf der Suche nach einem Restaurant im Zentrum der Stadt, das Französisch verkauft",0:6-0:2 0:6-14:17 8:10-8:12 12:12-19:23 14:23-25:34 25:26-36:37 28:30-4:6 32:37-39:45 39:40-47:49 42:45-51:56 47:50-58:60 52:56-74:81 58:63-62:72,"{'0:6': ['looking', 'O', 1], '8:10': ['for', 'O', 1], '12:12': ['a', 'O', 1], '14:23': ['restaurant', 'O', 1], '25:26': ['in', 'O', 1], '28:30': ['the', 'O', 1], '32:37': ['center', 'B-area', 2], '39:40': ['of', 'O', 1], '42:45': ['town', 'O', 1], '47:50': ['that', 'O', 1], '52:56': ['sells', 'O', 1], '58:63': ['french', 'B-food', 3]}","{0: ['looking', 'O', 1], 8: ['for', 'O', 1], 12: ['a', 'O', 1], 14: ['restaurant', 'O', 1], 25: ['in', 'O', 1], 28: ['the', 'O', 1], 32: ['center', 'B-area', 2], 39: ['of', 'O', 1], 42: ['town', 'O', 1], 47: ['that', 'O', 1], 52: ['sells', 'O', 1], 58: ['french', 'B-food', 3]}","{'0:2': '0:6', '14:17': '0:6', '8:12': '8:10', '19:23': '12:12', '25:34': '14:23', '36:37': '25:26', '4:6': '28:30', '39:45': '32:37', '47:49': '39:40', '51:56': '42:45', '58:60': '47:50', '74:81': '52:56', '62:72': '58:63'}","{0: 0, 14: 0, 8: 8, 19: 12, 25: 14, 36: 25, 4: 28, 39: 32, 47: 39, 51: 42, 58: 47, 74: 52, 62: 58}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1]"
1645,centre,inform_area,2,['B-area'],[2],['centre'],"{'text': 'Mitte', 'to': 'de', 'alignment': {'proj': '0:5-0:4'}}",1,Mitte,0:5-0:4,"{'0:5': ['centre', 'B-area', 2]}","{0: ['centre', 'B-area', 2]}",{'0:4': '0:5'},{0: 0},['B-area'],[2]
1646,city centre,inform_area,2,"['O', 'B-area']","[1, 2]","['city', 'centre']","{'text': 'Stadtzentrum', 'to': 'de', 'alignment': {'proj': '0:10-0:11'}}",2,Stadtzentrum,0:10-0:11,"{'0:3': ['city', 'O', 1], '5:10': ['centre', 'B-area', 2]}","{0: ['city', 'O', 1], 5: ['centre', 'B-area', 2]}",{'0:11': '0:10'},{0: 0},['B-area'],['O']
1647,romanian food in the center,inform_area__inform_food,28,"['B-food', 'O', 'O', 'O', 'B-area']","[3, 1, 1, 1, 2]","['romanian', 'food', 'in', 'the', 'center']","{'text': 'rumänisches Essen im Zentrum', 'to': 'de', 'alignment': {'proj': '0:7-0:10 9:12-12:16 17:19-18:19 21:26-21:27'}}",1,rumänisches Essen im Zentrum,0:7-0:10 9:12-12:16 17:19-18:19 21:26-21:27,"{'0:7': ['romanian', 'B-food', 3], '9:12': ['food', 'O', 1], '14:15': ['in', 'O', 1], '17:19': ['the', 'O', 1], '21:26': ['center', 'B-area', 2]}","{0: ['romanian', 'B-food', 3], 9: ['food', 'O', 1], 14: ['in', 'O', 1], 17: ['the', 'O', 1], 21: ['center', 'B-area', 2]}","{'0:10': '0:7', '12:16': '9:12', '18:19': '17:19', '21:27': '21:26'}","{0: 0, 12: 9, 18: 17, 21: 21}","['B-food', 'O', 'O', 'B-area']","[3, 1, 1, 2]"
1648,im looking for a restaurant in the center park of town that serves,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'the', 'center', 'park', 'of', 'town', 'that', 'serves']","{'text': 'Ich suche ein Restaurant im Zentrum park der stadt, das serviert', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:23 28:29-25:26 31:33-36:39 35:40-28:34 47:48-41:43 50:53-45:50 55:58-52:54 60:65-56:63'}}",1,"Ich suche ein Restaurant im Zentrum park der stadt, das serviert",0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:23 28:29-25:26 31:33-36:39 35:40-28:34 47:48-41:43 50:53-45:50 55:58-52:54 60:65-56:63,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['the', 'O', 1], '35:40': ['center', 'B-area', 2], '42:45': ['park', 'O', 1], '47:48': ['of', 'O', 1], '50:53': ['town', 'O', 1], '55:58': ['that', 'O', 1], '60:65': ['serves', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['the', 'O', 1], 35: ['center', 'B-area', 2], 42: ['park', 'O', 1], 47: ['of', 'O', 1], 50: ['town', 'O', 1], 55: ['that', 'O', 1], 60: ['serves', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9', '10:12': '15:15', '14:23': '17:26', '25:26': '28:29', '36:39': '31:33', '28:34': '35:40', '41:43': '47:48', '45:50': '50:53', '52:54': '55:58', '56:63': '60:65'}","{0: 0, 4: 3, 10: 15, 14: 17, 25: 28, 36: 31, 28: 35, 41: 47, 45: 50, 52: 55, 56: 60}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
