index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
1464,is it cheap,confirm_pricerange,11,"['O', 'O', 'B-pricerange']","[1, 1, 0]","['is', 'it', 'cheap']","{'text': 'это дешево', 'to': 'ru', 'alignment': {'proj': '0:1-0:2 6:10-4:9'}}",1,это дешево,0:1-0:2 6:10-4:9,"{'0:1': ['is', 'O', 1], '3:4': ['it', 'O', 1], '6:10': ['cheap', 'B-pricerange', 0]}","{0: ['is', 'O', 1], 3: ['it', 'O', 1], 6: ['cheap', 'B-pricerange', 0]}","{'0:2': '0:1', '4:9': '6:10'}","{0: 0, 4: 6}","['O', 'O', 'B-pricerange']","[1, 1, 0]","['O', 'B-pricerange']","[1, 0]"
1465,where,request_addr,3,['O'],[1],['where'],"{'text': 'где', 'to': 'ru', 'alignment': {'proj': '0:4-0:2'}}",1,где,0:4-0:2,"{'0:4': ['where', 'O', 1]}","{0: ['where', 'O', 1]}",{'0:2': '0:4'},{0: 0},['O'],[1],['O'],[1]
1466,id like to find a moderately priced restaurant in the west of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1]","['id', 'like', 'to', 'find', 'a', 'moderately', 'priced', 'restaurant', 'in', 'the', 'west', 'of', 'town']","{'text': 'Я люблю найти ресторан по умеренной цене на западе города', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:6-2:6 11:14-8:12 16:16-23:24 18:27-26:34 29:34-36:39 36:45-14:21 50:52-41:42 54:57-44:49 62:65-51:56'}}",1,Я люблю найти ресторан по умеренной цене на западе города,0:1-0:0 3:6-2:6 11:14-8:12 16:16-23:24 18:27-26:34 29:34-36:39 36:45-14:21 50:52-41:42 54:57-44:49 62:65-51:56,"{'0:1': ['id', 'O', 1], '3:6': ['like', 'O', 1], '8:9': ['to', 'O', 1], '11:14': ['find', 'O', 1], '16:16': ['a', 'O', 1], '18:27': ['moderately', 'B-pricerange', 0], '29:34': ['priced', 'O', 1], '36:45': ['restaurant', 'O', 1], '47:48': ['in', 'O', 1], '50:52': ['the', 'O', 1], '54:57': ['west', 'B-area', 2], '59:60': ['of', 'O', 1], '62:65': ['town', 'O', 1]}","{0: ['id', 'O', 1], 3: ['like', 'O', 1], 8: ['to', 'O', 1], 11: ['find', 'O', 1], 16: ['a', 'O', 1], 18: ['moderately', 'B-pricerange', 0], 29: ['priced', 'O', 1], 36: ['restaurant', 'O', 1], 47: ['in', 'O', 1], 50: ['the', 'O', 1], 54: ['west', 'B-area', 2], 59: ['of', 'O', 1], 62: ['town', 'O', 1]}","{'0:0': '0:1', '2:6': '3:6', '8:12': '11:14', '23:24': '16:16', '26:34': '18:27', '36:39': '29:34', '14:21': '36:45', '41:42': '50:52', '44:49': '54:57', '51:56': '62:65'}","{0: 0, 2: 3, 8: 11, 23: 16, 26: 18, 36: 29, 14: 36, 41: 50, 44: 54, 51: 62}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 2, 1]"
1467,cheap food in the east part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 1, 2, 1, 1, 1]","['cheap', 'food', 'in', 'the', 'east', 'part', 'of', 'town']","{'text': 'дешевая еда в восточной части города', 'to': 'ru', 'alignment': {'proj': '0:4-0:6 6:9-8:10 11:12-12:12 18:21-14:22 23:26-24:28 31:34-30:35'}}",1,дешевая еда в восточной части города,0:4-0:6 6:9-8:10 11:12-12:12 18:21-14:22 23:26-24:28 31:34-30:35,"{'0:4': ['cheap', 'B-pricerange', 0], '6:9': ['food', 'O', 1], '11:12': ['in', 'O', 1], '14:16': ['the', 'O', 1], '18:21': ['east', 'B-area', 2], '23:26': ['part', 'O', 1], '28:29': ['of', 'O', 1], '31:34': ['town', 'O', 1]}","{0: ['cheap', 'B-pricerange', 0], 6: ['food', 'O', 1], 11: ['in', 'O', 1], 14: ['the', 'O', 1], 18: ['east', 'B-area', 2], 23: ['part', 'O', 1], 28: ['of', 'O', 1], 31: ['town', 'O', 1]}","{'0:6': '0:4', '8:10': '6:9', '12:12': '11:12', '14:22': '18:21', '24:28': '23:26', '30:35': '31:34'}","{0: 0, 8: 6, 12: 11, 14: 18, 24: 23, 30: 31}","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 2, 1, 1, 1]","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O']","[0, 1, 1, 2, 1, 1]"
1468,what type of food does the missing sock serve,inform_name__request_food,73,"['O', 'O', 'O', 'O', 'O', 'B-name', 'I-name', 'I-name', 'O']","[1, 1, 1, 1, 1, 6, 7, 7, 1]","['what', 'type', 'of', 'food', 'does', 'the', 'missing', 'sock', 'serve']","{'text': 'какую еду подает отсутствующий носок', 'to': 'ru', 'alignment': {'proj': '0:3-0:4 13:16-6:8 27:33-17:29 35:38-31:35 40:44-10:15'}}",1,какую еду подает отсутствующий носок,0:3-0:4 13:16-6:8 27:33-17:29 35:38-31:35 40:44-10:15,"{'0:3': ['what', 'O', 1], '5:8': ['type', 'O', 1], '10:11': ['of', 'O', 1], '13:16': ['food', 'O', 1], '18:21': ['does', 'O', 1], '23:25': ['the', 'B-name', 6], '27:33': ['missing', 'I-name', 7], '35:38': ['sock', 'I-name', 7], '40:44': ['serve', 'O', 1]}","{0: ['what', 'O', 1], 5: ['type', 'O', 1], 10: ['of', 'O', 1], 13: ['food', 'O', 1], 18: ['does', 'O', 1], 23: ['the', 'B-name', 6], 27: ['missing', 'I-name', 7], 35: ['sock', 'I-name', 7], 40: ['serve', 'O', 1]}","{'0:4': '0:3', '6:8': '13:16', '17:29': '27:33', '31:35': '35:38', '10:15': '40:44'}","{0: 0, 6: 13, 17: 27, 31: 35, 10: 40}","['O', 'O', 'O', 'O', 'O', 'B-name', 'I-name', 'I-name']","[1, 1, 1, 1, 1, 6, 7, 7]","['O', 'O', 'O', 'I-name', 'I-name']","[1, 1, 1, 7, 7]"
1469,moderate restaurant north part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 2, 1, 1, 1]","['moderate', 'restaurant', 'north', 'part', 'of', 'town']","{'text': 'умеренный ресторан в северной части города', 'to': 'ru', 'alignment': {'proj': '0:7-0:8 9:18-10:17 20:24-19:19 20:24-21:28 26:29-30:34 34:37-36:41'}}",1,умеренный ресторан в северной части города,0:7-0:8 9:18-10:17 20:24-19:19 20:24-21:28 26:29-30:34 34:37-36:41,"{'0:7': ['moderate', 'B-pricerange', 0], '9:18': ['restaurant', 'O', 1], '20:24': ['north', 'B-area', 2], '26:29': ['part', 'O', 1], '31:32': ['of', 'O', 1], '34:37': ['town', 'O', 1]}","{0: ['moderate', 'B-pricerange', 0], 9: ['restaurant', 'O', 1], 20: ['north', 'B-area', 2], 26: ['part', 'O', 1], 31: ['of', 'O', 1], 34: ['town', 'O', 1]}","{'0:8': '0:7', '10:17': '9:18', '19:19': '20:24', '21:28': '20:24', '30:34': '26:29', '36:41': '34:37'}","{0: 0, 10: 9, 19: 20, 21: 20, 30: 26, 36: 34}","['B-pricerange', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 2, 1, 1, 1]","['B-pricerange', 'O', 'B-area', 'B-area', 'O', 'O']","[0, 1, 2, 2, 1, 1]"
1470,uh yes can i find a cheap restaurant in the north part of town,affirm__inform_area__inform_pricerange,66,"['O', 'O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['uh', 'yes', 'can', 'i', 'find', 'a', 'cheap', 'restaurant', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'Да, я могу найти дешевый ресторан в северной части города', 'to': 'ru', 'alignment': {'proj': '0:1-0:2 7:9-6:9 11:11-4:4 13:16-11:15 18:18-17:23 26:35-25:32 37:38-34:34 44:48-36:43 50:53-45:49 58:61-51:56'}}",1,"Да, я могу найти дешевый ресторан в северной части города",0:1-0:2 7:9-6:9 11:11-4:4 13:16-11:15 18:18-17:23 26:35-25:32 37:38-34:34 44:48-36:43 50:53-45:49 58:61-51:56,"{'0:1': ['uh', 'O', 1], '3:5': ['yes', 'O', 1], '7:9': ['can', 'O', 1], '11:11': ['i', 'O', 1], '13:16': ['find', 'O', 1], '18:18': ['a', 'O', 1], '20:24': ['cheap', 'B-pricerange', 0], '26:35': ['restaurant', 'O', 1], '37:38': ['in', 'O', 1], '40:42': ['the', 'O', 1], '44:48': ['north', 'B-area', 2], '50:53': ['part', 'O', 1], '55:56': ['of', 'O', 1], '58:61': ['town', 'O', 1]}","{0: ['uh', 'O', 1], 3: ['yes', 'O', 1], 7: ['can', 'O', 1], 11: ['i', 'O', 1], 13: ['find', 'O', 1], 18: ['a', 'O', 1], 20: ['cheap', 'B-pricerange', 0], 26: ['restaurant', 'O', 1], 37: ['in', 'O', 1], 40: ['the', 'O', 1], 44: ['north', 'B-area', 2], 50: ['part', 'O', 1], 55: ['of', 'O', 1], 58: ['town', 'O', 1]}","{'0:2': '0:1', '6:9': '7:9', '4:4': '11:11', '11:15': '13:16', '17:23': '18:18', '25:32': '26:35', '34:34': '37:38', '36:43': '44:48', '45:49': '50:53', '51:56': '58:61'}","{0: 0, 6: 7, 4: 11, 11: 13, 17: 18, 25: 26, 34: 37, 36: 44, 45: 50, 51: 58}","['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
1471,and can i have the address,request_addr,3,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['and', 'can', 'i', 'have', 'the', 'address']","{'text': 'и могу ли я иметь адрес', 'to': 'ru', 'alignment': {'proj': '0:2-0:0 4:6-2:5 8:8-10:10 10:13-7:8 10:13-12:16 19:25-18:22'}}",1,и могу ли я иметь адрес,0:2-0:0 4:6-2:5 8:8-10:10 10:13-7:8 10:13-12:16 19:25-18:22,"{'0:2': ['and', 'O', 1], '4:6': ['can', 'O', 1], '8:8': ['i', 'O', 1], '10:13': ['have', 'O', 1], '15:17': ['the', 'O', 1], '19:25': ['address', 'O', 1]}","{0: ['and', 'O', 1], 4: ['can', 'O', 1], 8: ['i', 'O', 1], 10: ['have', 'O', 1], 15: ['the', 'O', 1], 19: ['address', 'O', 1]}","{'0:0': '0:2', '2:5': '4:6', '10:10': '8:8', '7:8': '10:13', '12:16': '10:13', '18:22': '19:25'}","{0: 0, 2: 4, 10: 8, 7: 10, 12: 10, 18: 19}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
1472,id like to find a moderately priced restaurant in the west part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1]","['id', 'like', 'to', 'find', 'a', 'moderately', 'priced', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town']","{'text': 'Я люблю найти ресторан по умеренной цене в западной части города', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:6-2:6 11:14-8:12 16:16-23:24 16:16-26:34 29:34-36:39 36:45-14:21 47:48-41:41 54:57-43:50 59:62-52:56 67:70-58:63'}}",1,Я люблю найти ресторан по умеренной цене в западной части города,0:1-0:0 3:6-2:6 11:14-8:12 16:16-23:24 16:16-26:34 29:34-36:39 36:45-14:21 47:48-41:41 54:57-43:50 59:62-52:56 67:70-58:63,"{'0:1': ['id', 'O', 1], '3:6': ['like', 'O', 1], '8:9': ['to', 'O', 1], '11:14': ['find', 'O', 1], '16:16': ['a', 'O', 1], '18:27': ['moderately', 'B-pricerange', 0], '29:34': ['priced', 'O', 1], '36:45': ['restaurant', 'O', 1], '47:48': ['in', 'O', 1], '50:52': ['the', 'O', 1], '54:57': ['west', 'B-area', 2], '59:62': ['part', 'O', 1], '64:65': ['of', 'O', 1], '67:70': ['town', 'O', 1]}","{0: ['id', 'O', 1], 3: ['like', 'O', 1], 8: ['to', 'O', 1], 11: ['find', 'O', 1], 16: ['a', 'O', 1], 18: ['moderately', 'B-pricerange', 0], 29: ['priced', 'O', 1], 36: ['restaurant', 'O', 1], 47: ['in', 'O', 1], 50: ['the', 'O', 1], 54: ['west', 'B-area', 2], 59: ['part', 'O', 1], 64: ['of', 'O', 1], 67: ['town', 'O', 1]}","{'0:0': '0:1', '2:6': '3:6', '8:12': '11:14', '23:24': '16:16', '26:34': '16:16', '36:39': '29:34', '14:21': '36:45', '41:41': '47:48', '43:50': '54:57', '52:56': '59:62', '58:63': '67:70'}","{0: 0, 2: 3, 8: 11, 23: 16, 26: 16, 36: 29, 14: 36, 41: 47, 43: 54, 52: 59, 58: 67}","['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
1473,i want a restaurant that serves,unknown,7,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['i', 'want', 'a', 'restaurant', 'that', 'serves']","{'text': 'Я хочу ресторан, который обслуживает', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:5-2:5 9:18-7:15 20:23-17:23 25:30-25:35'}}",1,"Я хочу ресторан, который обслуживает",0:0-0:0 2:5-2:5 9:18-7:15 20:23-17:23 25:30-25:35,"{'0:0': ['i', 'O', 1], '2:5': ['want', 'O', 1], '7:7': ['a', 'O', 1], '9:18': ['restaurant', 'O', 1], '20:23': ['that', 'O', 1], '25:30': ['serves', 'O', 1]}","{0: ['i', 'O', 1], 2: ['want', 'O', 1], 7: ['a', 'O', 1], 9: ['restaurant', 'O', 1], 20: ['that', 'O', 1], 25: ['serves', 'O', 1]}","{'0:0': '0:0', '2:5': '2:5', '7:15': '9:18', '17:23': '20:23', '25:35': '25:30'}","{0: 0, 2: 2, 7: 9, 17: 20, 25: 25}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
1474,earetree mediterranean food,inform_food,6,"['O', 'B-food', 'O']","[1, 3, 1]","['earetree', 'mediterranean', 'food']","{'text': 'средиземноморская кухня', 'to': 'ru', 'alignment': {'proj': '9:21-0:16 23:26-18:22'}}",1,средиземноморская кухня,9:21-0:16 23:26-18:22,"{'0:7': ['earetree', 'O', 1], '9:21': ['mediterranean', 'B-food', 3], '23:26': ['food', 'O', 1]}","{0: ['earetree', 'O', 1], 9: ['mediterranean', 'B-food', 3], 23: ['food', 'O', 1]}","{'0:16': '9:21', '18:22': '23:26'}","{0: 9, 18: 23}","['O', 'B-food', 'O']","[1, 3, 1]","['B-food', 'O']","[3, 1]"
1475,what about earatree food,reqalts,23,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['what', 'about', 'earatree', 'food']","{'text': 'как насчет еды из эаратри', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 11:18-4:9 11:18-18:24 20:23-11:13'}}",1,как насчет еды из эаратри,0:3-0:2 11:18-4:9 11:18-18:24 20:23-11:13,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:18': ['earatree', 'O', 1], '20:23': ['food', 'O', 1]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['earatree', 'O', 1], 20: ['food', 'O', 1]}","{'0:2': '0:3', '4:9': '11:18', '18:24': '11:18', '11:13': '20:23'}","{0: 0, 4: 11, 18: 11, 11: 20}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', -100, 'O']","[1, 1, 1, -100, 1]"
1476,can i have their address,request_addr,3,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['can', 'i', 'have', 'their', 'address']","{'text': 'Могу ли я получить их адрес', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 0:2-5:6 4:4-8:8 6:9-10:17 11:15-19:20 17:23-22:26'}}",1,Могу ли я получить их адрес,0:2-0:3 0:2-5:6 4:4-8:8 6:9-10:17 11:15-19:20 17:23-22:26,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:15': ['their', 'O', 1], '17:23': ['address', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['their', 'O', 1], 17: ['address', 'O', 1]}","{'0:3': '0:2', '5:6': '0:2', '8:8': '4:4', '10:17': '6:9', '19:20': '11:15', '22:26': '17:23'}","{0: 0, 5: 0, 8: 4, 10: 6, 19: 11, 22: 17}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
1477,and whats the postal code,unknown,7,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['and', 'whats', 'the', 'postal', 'code']","{'text': 'и какой почтовый индекс', 'to': 'ru', 'alignment': {'proj': '0:2-0:0 4:8-2:6 10:12-8:15 14:19-17:22'}}",1,и какой почтовый индекс,0:2-0:0 4:8-2:6 10:12-8:15 14:19-17:22,"{'0:2': ['and', 'O', 1], '4:8': ['whats', 'O', 1], '10:12': ['the', 'O', 1], '14:19': ['postal', 'O', 1], '21:24': ['code', 'O', 1]}","{0: ['and', 'O', 1], 4: ['whats', 'O', 1], 10: ['the', 'O', 1], 14: ['postal', 'O', 1], 21: ['code', 'O', 1]}","{'0:0': '0:2', '2:6': '4:8', '8:15': '10:12', '17:22': '14:19'}","{0: 0, 2: 4, 8: 10, 17: 14}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
1478,im looking for a restaurant in the north part of town that serves euro,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'the', 'north', 'part', 'of', 'town', 'that', 'serves', 'euro']","{'text': 'Я ищу ресторан в северной части города, который подает евро', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 35:39-17:24 41:44-26:30 49:52-32:38 54:57-40:46 59:64-48:53 66:69-55:58'}}",1,"Я ищу ресторан в северной части города, который подает евро",0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 35:39-17:24 41:44-26:30 49:52-32:38 54:57-40:46 59:64-48:53 66:69-55:58,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['the', 'O', 1], '35:39': ['north', 'B-area', 2], '41:44': ['part', 'O', 1], '46:47': ['of', 'O', 1], '49:52': ['town', 'O', 1], '54:57': ['that', 'O', 1], '59:64': ['serves', 'O', 1], '66:69': ['euro', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['the', 'O', 1], 35: ['north', 'B-area', 2], 41: ['part', 'O', 1], 46: ['of', 'O', 1], 49: ['town', 'O', 1], 54: ['that', 'O', 1], 59: ['serves', 'O', 1], 66: ['euro', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:13': '17:26', '15:15': '28:29', '17:24': '35:39', '26:30': '41:44', '32:38': '49:52', '40:46': '54:57', '48:53': '59:64', '55:58': '66:69'}","{0: 0, 2: 3, 6: 17, 15: 28, 17: 35, 26: 41, 32: 49, 40: 54, 48: 59, 55: 66}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
1479,how bout the center part of town,inform_area__reqalts,34,"['O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 2, 1, 1, 1]","['how', 'bout', 'the', 'center', 'part', 'of', 'town']","{'text': 'как обойть центральную часть города', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:7-4:9 13:18-11:21 20:23-23:27 28:31-29:34'}}",1,как обойть центральную часть города,0:2-0:2 4:7-4:9 13:18-11:21 20:23-23:27 28:31-29:34,"{'0:2': ['how', 'O', 1], '4:7': ['bout', 'O', 1], '9:11': ['the', 'O', 1], '13:18': ['center', 'B-area', 2], '20:23': ['part', 'O', 1], '25:26': ['of', 'O', 1], '28:31': ['town', 'O', 1]}","{0: ['how', 'O', 1], 4: ['bout', 'O', 1], 9: ['the', 'O', 1], 13: ['center', 'B-area', 2], 20: ['part', 'O', 1], 25: ['of', 'O', 1], 28: ['town', 'O', 1]}","{'0:2': '0:2', '4:9': '4:7', '11:21': '13:18', '23:27': '20:23', '29:34': '28:31'}","{0: 0, 4: 4, 11: 13, 23: 20, 29: 28}","['O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 2, 1, 1, 1]","['O', 'O', 'B-area', 'O', 'O']","[1, 1, 2, 1, 1]"
1480,i want a moderately priced restaurant in the west part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1]","['i', 'want', 'a', 'moderately', 'priced', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town']","{'text': 'Я хочу ресторан по умеренной цене в западной части города', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:5-2:5 7:7-16:17 9:18-19:27 20:25-29:32 27:36-7:14 38:39-34:34 45:48-36:43 50:53-45:49 58:61-51:56'}}",1,Я хочу ресторан по умеренной цене в западной части города,0:0-0:0 2:5-2:5 7:7-16:17 9:18-19:27 20:25-29:32 27:36-7:14 38:39-34:34 45:48-36:43 50:53-45:49 58:61-51:56,"{'0:0': ['i', 'O', 1], '2:5': ['want', 'O', 1], '7:7': ['a', 'O', 1], '9:18': ['moderately', 'B-pricerange', 0], '20:25': ['priced', 'O', 1], '27:36': ['restaurant', 'O', 1], '38:39': ['in', 'O', 1], '41:43': ['the', 'O', 1], '45:48': ['west', 'B-area', 2], '50:53': ['part', 'O', 1], '55:56': ['of', 'O', 1], '58:61': ['town', 'O', 1]}","{0: ['i', 'O', 1], 2: ['want', 'O', 1], 7: ['a', 'O', 1], 9: ['moderately', 'B-pricerange', 0], 20: ['priced', 'O', 1], 27: ['restaurant', 'O', 1], 38: ['in', 'O', 1], 41: ['the', 'O', 1], 45: ['west', 'B-area', 2], 50: ['part', 'O', 1], 55: ['of', 'O', 1], 58: ['town', 'O', 1]}","{'0:0': '0:0', '2:5': '2:5', '16:17': '7:7', '19:27': '9:18', '29:32': '20:25', '7:14': '27:36', '34:34': '38:39', '36:43': '45:48', '45:49': '50:53', '51:56': '58:61'}","{0: 0, 2: 2, 16: 7, 19: 9, 29: 20, 7: 27, 34: 38, 36: 45, 45: 50, 51: 58}","['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 2, 1, 1]"
1481,is there anything,reqalts,23,"['O', 'O', 'O']","[1, 1, 1]","['is', 'there', 'anything']","{'text': 'есть ли что-нибудь', 'to': 'ru', 'alignment': {'proj': '3:7-0:3 3:7-5:6 9:16-8:17'}}",1,есть ли что-нибудь,3:7-0:3 3:7-5:6 9:16-8:17,"{'0:1': ['is', 'O', 1], '3:7': ['there', 'O', 1], '9:16': ['anything', 'O', 1]}","{0: ['is', 'O', 1], 3: ['there', 'O', 1], 9: ['anything', 'O', 1]}","{'0:3': '3:7', '5:6': '3:7', '8:17': '9:16'}","{0: 3, 5: 3, 8: 9}","['O', 'O', 'O']","[1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
1482,i want a different res,reqalts,23,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['i', 'want', 'a', 'different', 'res']","{'text': 'Я хочу другое res', 'to': 'ru', 'alignment': {'proj': '0:0-0:0 2:5-2:5 9:17-7:12 19:21-14:16'}}",1,Я хочу другое res,0:0-0:0 2:5-2:5 9:17-7:12 19:21-14:16,"{'0:0': ['i', 'O', 1], '2:5': ['want', 'O', 1], '7:7': ['a', 'O', 1], '9:17': ['different', 'O', 1], '19:21': ['res', 'O', 1]}","{0: ['i', 'O', 1], 2: ['want', 'O', 1], 7: ['a', 'O', 1], 9: ['different', 'O', 1], 19: ['res', 'O', 1]}","{'0:0': '0:0', '2:5': '2:5', '7:12': '9:17', '14:16': '19:21'}","{0: 0, 2: 2, 7: 9, 14: 19}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
1483,give me a different restaurant,reqalts,23,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['give', 'me', 'a', 'different', 'restaurant']","{'text': 'дайте мне другой ресторан', 'to': 'ru', 'alignment': {'proj': '0:3-0:4 5:6-6:8 10:18-10:15 20:29-17:24'}}",1,дайте мне другой ресторан,0:3-0:4 5:6-6:8 10:18-10:15 20:29-17:24,"{'0:3': ['give', 'O', 1], '5:6': ['me', 'O', 1], '8:8': ['a', 'O', 1], '10:18': ['different', 'O', 1], '20:29': ['restaurant', 'O', 1]}","{0: ['give', 'O', 1], 5: ['me', 'O', 1], 8: ['a', 'O', 1], 10: ['different', 'O', 1], 20: ['restaurant', 'O', 1]}","{'0:4': '0:3', '6:8': '5:6', '10:15': '10:18', '17:24': '20:29'}","{0: 0, 6: 5, 10: 10, 17: 20}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
